Forename,Order ID,Surname,Sales
Jim,CA-2014-133263,Epp,"$3,099"
Tonja,CA-2014-141439,Turnell,"$3,084"
Bart,CA-2014-159366,Watters,"$3,060"
Brian,CA-2014-152912,Moss,"$3,014"
Bradley,US-2014-105935,Drucker,"$3,003"
Dan,CA-2014-161956,Reichenbach,"$2,972"
Robert,CA-2014-145219,Marley,"$2,970"
Thomas,CA-2014-119284,Seio,"$2,943"
Erica,US-2014-163300,Smith,"$2,912"
Sung,US-2013-163881,Pak,"$2,905"
Doug,CA-2014-115602,Jacobs,"$2,889"
Penelope,CA-2011-136567,Sewall,"$2,884"
Grace,US-2013-116729,Kelly,"$2,876"
Resi,CA-2011-120474,Pölking,"$2,854"
Katherine,CA-2011-133592,Murray,"$2,846"
Ionia,CA-2013-129630,McGrath,"$2,824"
Sean,CA-2012-164777,Christensen,"$2,804"
Todd,US-2012-100377,Sumrall,"$2,800"
Deborah,CA-2013-163804,Brumfield,"$2,782"
Denise,CA-2014-157854,Monton,"$2,747"
Heather,US-2014-141677,Kirkland,"$2,738"
Sue,CA-2011-154627,Ann,"$2,736"
Joel,CA-2012-139731,Eaton,"$2,717"
John,CA-2011-127299,Lee,"$2,692"
Sarah,CA-2014-123967,Foster,"$2,691"
Alejandro,US-2013-164196,Savely,"$2,679"
Lindsay,CA-2012-111038,Castell,"$2,677"
Randy,CA-2013-163167,Ferguson,"$2,674"
Greg,CA-2012-124450,Tran,"$2,670"
Justin,CA-2013-114489,Ellison,"$2,658"
Luke,CA-2011-169019,Foster,"$2,657"
Cassandra,CA-2012-146563,Brandow,"$2,645"
Annie,CA-2012-123113,Thurman,"$2,643"
Karen,CA-2014-112333,Ferguson,"$2,634"
Emily,CA-2012-160227,Ducich,"$2,621"
Anna,CA-2013-108987,Gayman,"$2,621"
Sharelle,CA-2014-134845,Roach,"$2,613"
John,US-2014-161935,Lee,"$2,611"
Adam,CA-2014-107174,Bellavance,"$2,595"
Anthony,CA-2011-141313,Jacobs,"$2,583"
George,CA-2012-155306,Ashbrook,"$2,573"
Bill,CA-2012-120677,Donatelli,"$2,568"
Jeremy,CA-2014-156776,Lonsdale,"$2,563"
Joe,CA-2013-169670,Elijah,"$2,563"
Sandra,CA-2012-164882,Glassco,"$2,562"
Stewart,US-2013-114013,Carmichael,"$2,551"
Rick,CA-2013-168354,Huthwaite,"$2,545"
Pierre,CA-2012-162782,Wener,"$2,542"
Dana,CA-2012-105627,Kaydos,"$2,532"
Justin,CA-2014-168858,Deggeller,"$2,521"
Ken,CA-2012-109575,Heidel,"$2,504"
Meg,CA-2013-104157,Tillman,"$2,503"
Juliana,CA-2014-160885,Krohn,"$2,480"
Stefania,US-2014-118087,Perrino,"$2,457"
Joe,CA-2013-105081,Elijah,"$2,446"
Dean,US-2014-162558,percer,"$2,438"
Harold,US-2014-135013,Ryan,"$2,400"
Linda,CA-2013-107202,Cazamias,"$2,396"
Dan,CA-2014-128363,Campbell,"$2,383"
Frank,CA-2013-147256,Carlisle,"$2,378"
Alejandro,CA-2013-105732,Grove,"$2,375"
Shahid,CA-2014-138975,Collister,"$2,362"
Suzanne,CA-2011-122931,McNair,"$2,359"
Paul,CA-2011-126683,Prost,"$2,355"
Helen,CA-2014-121027,Wasserman,"$2,340"
Dean,CA-2012-169796,percer,"$2,340"
Linda,CA-2013-114727,Southworth,"$2,332"
Rick,CA-2011-126403,Reed,"$2,304"
Lauren,CA-2012-137974,Leatherbury,"$2,299"
Corinna,US-2013-113677,Mitchell,"$2,295"
Theone,CA-2014-120376,Pippenger,"$2,283"
Nora,CA-2014-150091,Paige,"$2,258"
Ann,CA-2014-157987,Chong,"$2,256"
Mike,CA-2012-135685,Pelletier,"$2,233"
Brian,CA-2014-149048,Moss,"$2,229"
Valerie,CA-2012-113145,Dominguez,"$2,220"
Alan,CA-2011-110408,Schoenberger,"$2,217"
Maribeth,CA-2012-130659,Schnelling,"$2,202"
John,US-2012-128090,Murray,"$2,200"
Shahid,CA-2014-142090,Collister,"$2,166"
Philisse,CA-2012-121783,Overcash,"$2,165"
Mary,CA-2011-128524,Zewe,"$2,159"
Charles,CA-2012-121797,Crestani,"$2,147"
Jonathan,CA-2013-143805,Doherty,"$2,145"
Valerie,CA-2011-126361,Dominguez,"$2,126"
Anne,CA-2011-145387,McFarland,"$2,117"
Liz,CA-2014-121790,Preis,"$2,114"
Bradley,CA-2014-117212,Talbott,"$2,111"
Karen,CA-2014-149559,Ferguson,"$2,089"
Tonja,CA-2012-135622,Turnell,"$2,079"
Paul,US-2013-108504,Prost,"$2,076"
Gary,CA-2013-131737,Zandusky,"$2,073"
David,CA-2013-168032,Flashing,"$2,068"
Beth,CA-2011-166954,Thompson,"$2,061"
Joseph,CA-2011-169726,Holt,"$2,061"
Deirdre,CA-2014-123372,Greer,"$2,060"
Jane,CA-2013-133935,Waco,"$2,056"
Lena,CA-2011-131450,Radford,"$2,050"
Rick,CA-2014-141733,Wilson,"$2,050"
Eleni,CA-2012-113404,McCrary,"$2,049"
Jack,US-2011-135972,Garza,"$2,046"
Christopher,CA-2014-111738,Martinez,"$2,031"
Thea,CA-2013-125087,Hudgings,"$2,027"
Russell,CA-2011-134313,Applegate,"$2,027"
Jamie,CA-2012-125976,Kunitz,"$2,027"
Cassandra,CA-2012-121188,Brandow,"$2,018"
Brenda,US-2014-118941,Bowman,"$2,017"
George,US-2014-167318,Zrebassa,"$2,012"
Fred,CA-2014-107517,Chung,"$2,012"
Emily,US-2013-131611,Phan,"$2,008"
Charles,CA-2013-155530,McCrossin,"$2,004"
Hunter,CA-2011-163748,Glantz,"$2,003"
Carol,CA-2013-157791,Adams,"$2,000"
Jamie,CA-2014-123491,Kunitz,"$1,994"
Justin,CA-2014-155880,Deggeller,"$1,987"
Ken,CA-2013-133725,Lonsdale,"$1,980"
Irene,CA-2011-120768,Maddox,"$1,980"
Anna,CA-2012-110863,Andreadi,"$1,971"
Scott,CA-2012-111514,Cohen,"$1,967"
Robert,CA-2014-167752,Waldorf,"$1,959"
Natalie,CA-2012-114069,DeCherney,"$1,953"
Michael,CA-2013-142335,Paige,"$1,949"
James,CA-2012-157084,Galang,"$1,942"
William,CA-2013-165330,Brown,"$1,938"
Mitch,CA-2014-136308,Willingham,"$1,920"
Natalie,CA-2012-102582,Webber,"$1,919"
Bill,US-2014-112347,Stewart,"$1,916"
Robert,CA-2012-160171,Marley,"$1,911"
Gary,CA-2011-154893,McGarr,"$1,898"
Victoria,CA-2014-159100,Pisteka,"$1,894"
Kunst,CA-2011-126760,Miller,"$1,891"
Henry,US-2014-122714,Goldwyn,"$1,890"
Toby,CA-2011-151330,Carlisle,"$1,885"
Craig,CA-2012-140984,Carroll,"$1,884"
Kelly,CA-2014-147760,Lampkin,"$1,884"
Caroline,CA-2014-144491,Jumper,"$1,875"
Brian,CA-2012-126725,Stugart,"$1,874"
Clay,US-2014-105998,Rozendal,"$1,873"
Hunter,US-2011-147627,Lopez,"$1,859"
Joe,CA-2013-106950,Elijah,"$1,854"
Ben,CA-2014-151799,Ferrer,"$1,843"
Kean,CA-2011-154599,Nguyen,"$1,840"
John,US-2014-167920,Lee,"$1,828"
Jennifer,US-2014-142188,Ferguson,"$1,820"
Victoria,CA-2012-146262,Wilson,"$1,817"
Jeremy,CA-2014-117324,Pistek,"$1,816"
Katherine,US-2014-158526,Hughes,"$1,815"
Corey,CA-2011-124688,Catlett,"$1,812"
Clay,CA-2014-119452,Ludtke,"$1,806"
Lena,CA-2013-126732,Radford,"$1,804"
John,CA-2012-134719,Dryer,"$1,802"
Dionis,US-2014-117723,Lloyd,"$1,802"
Nora,CA-2013-105459,Preis,"$1,800"
Kean,CA-2011-116666,Thornton,"$1,800"
Sanjit,CA-2011-152268,Chand,"$1,794"
Grace,CA-2013-101546,Kelly,"$1,794"
Amy,CA-2014-141789,Cox,"$1,794"
Speros,US-2012-127040,Goranitis,"$1,782"
Alan,CA-2014-112515,Schoenberger,"$1,782"
Marc,CA-2011-107818,Crier,"$1,772"
Roger,CA-2014-152975,Barcio,"$1,770"
Greg,CA-2011-103310,Matthias,"$1,770"
Neoma,CA-2013-153598,Murray,"$1,762"
Amy,CA-2012-141243,Hunt,"$1,758"
Sanjit,CA-2014-105669,Jacobs,"$1,750"
Brenda,CA-2013-169838,Bowman,"$1,746"
Tamara,CA-2012-147788,Manning,"$1,746"
Rob,CA-2012-126557,Lucas,"$1,745"
Rick,CA-2011-108147,Duston,"$1,745"
Christopher,US-2014-100930,Schild,"$1,736"
William,CA-2011-125829,Brown,"$1,729"
Nathan,CA-2014-131254,Cano,"$1,729"
John,US-2012-126214,Stevenson,"$1,718"
Zuschuss,CA-2012-115567,Carroll,"$1,716"
Corinna,CA-2014-113418,Mitchell,"$1,705"
Maria,CA-2013-152555,Etezadi,"$1,702"
Sara,CA-2014-145884,Luxemburg,"$1,702"
Lindsay,US-2013-102239,Williams,"$1,692"
Paul,CA-2014-105914,Van,"$1,687"
Justin,US-2012-163279,Deggeller,"$1,685"
Arianne,CA-2011-131387,Irving,"$1,680"
Brian,CA-2011-157147,Dahlen,"$1,680"
Michael,US-2013-121013,Moore,"$1,678"
Claudia,US-2013-165505,Bergmann,"$1,672"
Jack,US-2013-100461,O'Briant,"$1,672"
Dave,CA-2013-162390,Poirier,"$1,671"
Michael,CA-2014-148446,Chen,"$1,670"
Mark,CA-2012-102281,Packer,"$1,669"
Amy,CA-2014-158729,Cox,"$1,666"
Barry,CA-2012-141565,Gonzalez,"$1,664"
Muhammed,CA-2011-105984,Yedwab,"$1,661"
Bobby,CA-2013-125220,Elias,"$1,650"
Ivan,CA-2014-143063,Liston,"$1,646"
Cynthia,CA-2011-140858,Arntzen,"$1,640"
Karen,CA-2011-165309,Daniels,"$1,639"
Valerie,CA-2012-167010,Takahito,"$1,636"
Rose,CA-2012-155600,O'Brian,"$1,635"
Tracy,US-2014-120390,Hopkins,"$1,633"
Dean,CA-2013-127138,Katz,"$1,632"
Anthony,CA-2014-118724,Rawles,"$1,630"
Eugene,CA-2013-121370,Barchas,"$1,629"
Zuschuss,CA-2013-130946,Carroll,"$1,617"
Joe,CA-2011-150798,Kamberova,"$1,614"
Jill,CA-2013-102162,Fjeld,"$1,611"
Lisa,CA-2011-124856,DeCherney,"$1,609"
Bill,CA-2013-105207,Overfelt,"$1,605"
Don,CA-2013-128594,Jones,"$1,603"
Michelle,CA-2013-152247,Arnett,"$1,603"
Maxwell,CA-2013-150350,Schwartz,"$1,600"
Tanja,CA-2013-109869,Norvell,"$1,588"
Gary,CA-2014-163006,Hansen,"$1,585"
Robert,CA-2014-103877,Dilbeck,"$1,578"
Alan,CA-2014-146983,Hwang,"$1,578"
Pamela,CA-2011-150245,Coakley,"$1,573"
David,CA-2012-101889,Bremer,"$1,569"
Edward,CA-2013-165848,Nazzal,"$1,563"
Art,CA-2013-146934,Ferguson,"$1,562"
Carlos,CA-2014-111556,Daly,"$1,560"
Ivan,CA-2012-156482,Liston,"$1,558"
Olvera,CA-2013-107783,Toch,"$1,557"
John,CA-2012-142944,Lucas,"$1,555"
Zuschuss,CA-2011-151995,Carroll,"$1,550"
Sylvia,CA-2012-138009,Foulston,"$1,542"
Michelle,CA-2014-103212,Huthwaite,"$1,542"
Thea,CA-2011-153850,Hendricks,"$1,538"
Edward,CA-2012-166947,Becker,"$1,523"
Arthur,US-2011-119137,Gainer,"$1,520"
Patrick,US-2014-109253,Ryan,"$1,520"
Jeremy,CA-2011-144666,Pistek,"$1,518"
Eva,CA-2013-142594,Jacobs,"$1,517"
Maureen,US-2014-109316,Gastineau,"$1,515"
Clay,CA-2011-125731,Ludtke,"$1,509"
Natalie,CA-2011-127614,Fritzler,"$1,508"
Frank,CA-2013-114867,Merwin,"$1,508"
Edward,CA-2013-135776,Hooks,"$1,506"
Eugene,CA-2013-139997,Moren,"$1,500"
Pete,CA-2014-116680,Kriz,"$1,492"
Phillip,CA-2013-114972,Flathmann,"$1,490"
Craig,CA-2011-103492,Molinari,"$1,489"
Allen,US-2014-134481,Rosenblatt,"$1,488"
Sarah,CA-2012-146675,Brown,"$1,484"
Maribeth,CA-2011-114251,Dona,"$1,477"
Aaron,CA-2014-162691,Smayling,"$1,476"
Stefania,CA-2013-131289,Perrino,"$1,476"
Ann,US-2014-155425,Blume,"$1,475"
Arianne,CA-2013-158694,Irving,"$1,467"
Zuschuss,CA-2013-169103,Carroll,"$1,466"
Tracy,CA-2013-163328,Poddar,"$1,465"
Ben,US-2011-138247,Ferrer,"$1,461"
Karen,CA-2014-162012,Bern,"$1,456"
Denny,CA-2013-123540,Joy,"$1,455"
Russell,US-2012-122784,Applegate,"$1,455"
Claudia,CA-2012-100146,Bergmann,"$1,453"
Christine,CA-2014-109085,Kargatis,"$1,449"
Fred,CA-2012-162047,Hopkins,"$1,449"
Frank,CA-2014-146535,Merwin,"$1,447"
Jay,CA-2012-132486,Fein,"$1,447"
Dave,CA-2012-159534,Hallsten,"$1,446"
Erin,CA-2014-127397,Smith,"$1,444"
Frank,CA-2011-132612,Olsen,"$1,441"
Christy,CA-2013-147417,Brittain,"$1,440"
Dave,US-2014-147886,Hallsten,"$1,436"
Pauline,CA-2014-116988,Webber,"$1,433"
Mike,CA-2013-129868,Caudle,"$1,431"
Rob,CA-2013-144764,Lucas,"$1,427"
Mark,US-2013-143448,Hamilton,"$1,425"
Deanra,CA-2012-153381,Eno,"$1,423"
Paul,CA-2013-158099,Knutson,"$1,422"
Anthony,CA-2011-108609,Jacobs,"$1,422"
Pauline,CA-2014-143686,Johnson,"$1,418"
Nick,CA-2011-114321,Crebassa,"$1,417"
Mick,US-2013-160528,Hernandez,"$1,416"
Alan,CA-2013-112697,Haines,"$1,410"
Dorothy,US-2014-133200,Badders,"$1,407"
Stefanie,CA-2011-124247,Holloman,"$1,404"
Sylvia,CA-2013-146913,Foulston,"$1,404"
Chris,CA-2013-155845,McAfee,"$1,400"
Ben,CA-2013-159891,Ferrer,"$1,396"
Shahid,CA-2011-165764,Hopkins,"$1,396"
Mike,CA-2011-119151,Pelletier,"$1,394"
Olvera,CA-2013-113243,Toch,"$1,389"
Daniel,CA-2012-104626,Raglin,"$1,388"
Frank,CA-2013-111213,Preis,"$1,385"
Brenda,CA-2014-102379,Bowman,"$1,379"
Anna,CA-2013-147137,Andreadi,"$1,376"
Neola,CA-2014-153045,Schneider,"$1,371"
Laura,CA-2011-163552,Armstrong,"$1,369"
Tom,CA-2011-111192,Stivers,"$1,368"
John,CA-2013-110492,Stevenson,"$1,366"
Anthony,CA-2011-110786,Johnson,"$1,366"
Frank,CA-2014-122364,Atkinson,"$1,365"
Joe,CA-2013-105256,Kamberova,"$1,364"
Shahid,CA-2012-119879,Shariari,"$1,364"
Frank,CA-2014-104640,Hawley,"$1,362"
Christine,CA-2012-105571,Phan,"$1,362"
Stephanie,CA-2014-157966,Ulpright,"$1,359"
Edward,US-2014-111423,Hooks,"$1,358"
Fred,CA-2013-138968,Chung,"$1,357"
Sam,CA-2011-166863,Craven,"$1,354"
Sam,CA-2012-154284,Zeldin,"$1,350"
Neil,CA-2014-107167,Ducich,"$1,348"
Ivan,US-2012-114741,Liston,"$1,347"
Corinna,CA-2012-140410,Mitchell,"$1,345"
Rob,US-2014-169551,Lucas,"$1,345"
Craig,CA-2013-149279,Leslie,"$1,344"
Katherine,CA-2011-143903,Murray,"$1,341"
Ken,US-2012-129007,Dana,"$1,336"
Sanjit,CA-2014-105851,Engle,"$1,332"
Karen,CA-2014-142034,Bern,"$1,332"
Brian,CA-2013-101791,Stugart,"$1,328"
Dave,CA-2011-128146,Brooks,"$1,327"
Mike,CA-2014-108574,Gockenbach,"$1,325"
Trudy,CA-2014-147207,Schmidt,"$1,323"
Greg,CA-2014-102750,Maxwell,"$1,322"
Philisse,CA-2013-147375,Overcash,"$1,321"
Karen,US-2013-138408,Carlisle,"$1,320"
Julia,CA-2013-139269,Barnett,"$1,312"
Harold,CA-2014-111689,Pawlan,"$1,311"
Ken,CA-2013-133550,Lonsdale,"$1,311"
Matthew,CA-2011-166471,Grinstein,"$1,310"
Chad,CA-2011-136399,Cunningham,"$1,308"
Rob,CA-2012-157322,Haberlin,"$1,306"
Philip,CA-2013-162355,Fox,"$1,303"
Daniel,US-2011-115196,Lacy,"$1,300"
Maris,US-2014-142573,LaWare,"$1,299"
Dean,CA-2014-100650,Katz,"$1,296"
Anthony,CA-2014-142342,Johnson,"$1,295"
Valerie,US-2013-150140,Mitchum,"$1,295"
Ed,CA-2013-128223,Braxton,"$1,293"
Jim,CA-2012-113152,Karlsson,"$1,293"
Michelle,CA-2012-148635,Huthwaite,"$1,289"
Gene,CA-2013-117590,Hale,"$1,288"
Toby,CA-2013-134887,Braunhardt,"$1,287"
Chris,CA-2011-162775,Selesnick,"$1,287"
Theone,CA-2013-109722,Pippenger,"$1,285"
Craig,CA-2012-133585,Molinari,"$1,283"
Eugene,CA-2013-152730,Moren,"$1,283"
Brendan,CA-2011-106376,Sweed,"$1,281"
Kristina,CA-2014-126067,Nunn,"$1,278"
Matt,CA-2011-127446,Collister,"$1,274"
Nat,CA-2012-112452,Carroll,"$1,274"
Richard,US-2011-144078,Bierner,"$1,273"
Georgia,US-2011-123183,Rosenberg,"$1,271"
Kunst,CA-2014-167395,Miller,"$1,271"
Julia,CA-2012-120621,West,"$1,270"
Patrick,US-2013-141544,O'Brill,"$1,270"
Anne,CA-2013-145905,McFarland,"$1,264"
Jonathan,CA-2013-142545,Doherty,"$1,264"
Roland,CA-2011-106726,Schwarz,"$1,261"
Noel,CA-2013-162187,Staavos,"$1,253"
Todd,CA-2011-101931,Sumrall,"$1,253"
Victoria,CA-2014-128265,Wilson,"$1,248"
Nicole,CA-2014-122693,Hansen,"$1,246"
Nicole,US-2012-139675,Fjeld,"$1,243"
Chloris,CA-2014-110443,Kastensmidt,"$1,243"
Rose,CA-2014-150266,O'Brian,"$1,240"
Mick,CA-2014-127026,Hernandez,"$1,240"
Ralph,CA-2012-160472,Kennedy,"$1,238"
John,US-2012-138121,Lee,"$1,234"
Troy,CA-2014-105214,Staebel,"$1,232"
Ralph,CA-2012-111780,Arnett,"$1,231"
Steve,CA-2012-117415,Nguyen,"$1,229"
Rob,CA-2011-164315,Dowd,"$1,221"
Amy,CA-2013-163573,Cox,"$1,220"
Ed,CA-2014-123085,Jacobs,"$1,220"
Shaun,CA-2012-153423,Weien,"$1,218"
Ricardo,US-2011-117968,Sperren,"$1,217"
Ruben,US-2011-118997,Ausman,"$1,216"
Laurel,US-2013-155768,Beltran,"$1,216"
Kristen,CA-2012-150714,Hastings,"$1,215"
James,CA-2011-141796,Galang,"$1,215"
Lena,CA-2011-139192,Creighton,"$1,213"
Victoria,CA-2011-152100,Wilson,"$1,213"
Pauline,CA-2013-113607,Webber,"$1,204"
Ben,CA-2012-166219,Peterman,"$1,203"
Yoseph,CA-2013-110499,Carroll,"$1,200"
Eileen,CA-2011-111871,Kiefer,"$1,198"
Rick,US-2014-166688,Duston,"$1,196"
Sam,CA-2011-121006,Craven,"$1,195"
Christina,US-2011-137869,VanderZanden,"$1,191"
Seth,CA-2011-134572,Vernon,"$1,191"
Linda,CA-2013-152289,Cazamias,"$1,185"
Darren,CA-2013-110975,Budd,"$1,180"
Michael,CA-2013-155516,Kennedy,"$1,179"
Michelle,CA-2011-116932,Ellison,"$1,174"
Shaun,CA-2012-103835,Chance,"$1,173"
Matthew,CA-2014-152933,Grinstein,"$1,172"
Matt,CA-2012-130974,Abelman,"$1,171"
Dianna,CA-2012-146486,Vittorini,"$1,171"
Matt,CA-2014-130841,Hagelstein,"$1,171"
Adam,CA-2014-125451,Hart,"$1,170"
Mick,CA-2014-121839,Hernandez,"$1,170"
Greg,US-2013-169040,Tran,"$1,169"
Tracy,CA-2011-163419,Zic,"$1,167"
Tamara,US-2013-167339,Dahlen,"$1,167"
Sara,CA-2012-153549,Luxemburg,"$1,167"
Kean,CA-2011-146283,Takahito,"$1,167"
Emily,US-2013-150861,Grady,"$1,165"
Anthony,CA-2013-123946,Johnson,"$1,159"
Nancy,US-2014-163790,Lomonaco,"$1,159"
Grant,CA-2011-159520,Thornton,"$1,158"
Brenda,CA-2014-158561,Bowman,"$1,158"
Andrew,CA-2013-114601,Allen,"$1,158"
Clay,CA-2013-134803,Ludtke,"$1,158"
Monica,US-2014-162670,Federle,"$1,153"
Justin,CA-2013-116911,Deggeller,"$1,149"
Craig,CA-2011-104563,Molinari,"$1,144"
Fred,CA-2012-165624,Harton,"$1,142"
Trudy,CA-2011-130428,Glocke,"$1,142"
Christine,US-2011-125521,Kargatis,"$1,140"
Dennis,US-2013-111290,Kane,"$1,137"
Todd,CA-2012-136469,Sumrall,"$1,137"
Naresj,CA-2011-117464,Patel,"$1,136"
Brian,CA-2012-132626,Thompson,"$1,134"
Tracy,CA-2012-117800,Hopkins,"$1,133"
Ben,CA-2014-130036,Peterman,"$1,133"
Cathy,CA-2013-109344,Hwang,"$1,128"
Bill,CA-2012-110016,Tyler,"$1,127"
Bill,CA-2014-160633,Stewart,"$1,126"
Natalie,CA-2011-168984,Webber,"$1,123"
Bill,CA-2013-136406,Donatelli,"$1,122"
Liz,CA-2013-157280,Willingham,"$1,121"
Rob,CA-2013-142958,Williams,"$1,120"
Stewart,CA-2013-148852,Visinsky,"$1,119"
Hunter,CA-2012-165162,Glantz,"$1,118"
Arthur,CA-2013-136812,Wiediger,"$1,118"
Steven,US-2012-161991,Cartwright,"$1,116"
Michael,CA-2014-100097,Nguyen,"$1,115"
Anthony,CA-2013-132304,Rawles,"$1,115"
Gary,CA-2012-123141,Zandusky,"$1,114"
Nick,CA-2014-140872,Radford,"$1,112"
Clay,CA-2013-153178,Ludtke,"$1,111"
Frank,CA-2011-138128,Preis,"$1,111"
Joy,CA-2013-163776,Smith,"$1,111"
Clay,CA-2013-106530,Ludtke,"$1,110"
Becky,CA-2012-158491,Pak,"$1,110"
Matt,CA-2011-124478,Abelman,"$1,110"
Joe,CA-2011-163468,Kamberova,"$1,109"
Elizabeth,CA-2014-122035,Moffitt,"$1,108"
Adrian,CA-2011-103100,Barton,"$1,108"
Elpida,CA-2013-162236,Rittenbach,"$1,107"
Anna,CA-2011-154963,Andreadi,"$1,107"
Stuart,CA-2012-126697,Van,"$1,102"
William,CA-2014-138149,Brown,"$1,101"
Irene,CA-2012-154956,Maddox,"$1,100"
Giulietta,CA-2014-150420,Dortch,"$1,100"
Suzanne,US-2012-116981,McNair,"$1,099"
Alyssa,CA-2014-102407,Tate,"$1,096"
Brosina,CA-2013-112123,Hoffman,"$1,094"
Jennifer,CA-2013-158001,Patt,"$1,091"
Carol,CA-2011-166086,Triggs,"$1,091"
Jack,CA-2014-150910,Lebron,"$1,090"
Arthur,CA-2013-160108,Gainer,"$1,086"
Thomas,CA-2013-155978,Seio,"$1,086"
